[solver progress] 20/240; unparseable=4
[solver progress] 40/240; unparseable=5
[solver progress] 60/240; unparseable=9
[solver progress] 80/240; unparseable=12
[solver progress] 100/240; unparseable=15
[solver progress] 120/240; unparseable=18
[solver progress] 140/240; unparseable=19
[solver progress] 160/240; unparseable=22
[solver progress] 180/240; unparseable=23
[solver progress] 200/240; unparseable=26
[solver progress] 220/240; unparseable=28
[solver progress] 240/240; unparseable=33
[judge] 0 succeeded; 3840 remaining of 3840
[judge progress] 50/3840; segment_failures=2
[judge progress] 100/3840; segment_failures=7
[judge progress] 150/3840; segment_failures=10
[judge progress] 200/3840; segment_failures=13
[judge progress] 250/3840; segment_failures=17
[judge progress] 300/3840; segment_failures=20
[judge progress] 350/3840; segment_failures=23
[judge progress] 400/3840; segment_failures=25
[judge progress] 450/3840; segment_failures=26
[judge progress] 500/3840; segment_failures=30
[judge progress] 550/3840; segment_failures=32
[judge progress] 600/3840; segment_failures=35
[judge progress] 650/3840; segment_failures=39
[judge progress] 700/3840; segment_failures=41
[judge progress] 750/3840; segment_failures=46
[judge progress] 800/3840; segment_failures=48
[judge progress] 850/3840; segment_failures=49
[judge progress] 900/3840; segment_failures=52
[judge progress] 950/3840; segment_failures=55
[judge progress] 1000/3840; segment_failures=59
[judge progress] 1050/3840; segment_failures=62
[judge progress] 1100/3840; segment_failures=63
[judge progress] 1150/3840; segment_failures=63
[judge progress] 1200/3840; segment_failures=67
[judge progress] 1250/3840; segment_failures=69
[judge progress] 1300/3840; segment_failures=70
[judge progress] 1350/3840; segment_failures=72
[judge progress] 1400/3840; segment_failures=75
[judge progress] 1450/3840; segment_failures=76
[judge progress] 1500/3840; segment_failures=79
[judge progress] 1550/3840; segment_failures=82
[judge progress] 1600/3840; segment_failures=85
[judge progress] 1650/3840; segment_failures=87
[judge progress] 1700/3840; segment_failures=90
[judge progress] 1750/3840; segment_failures=94
[judge progress] 1800/3840; segment_failures=95
[judge progress] 1850/3840; segment_failures=96
[judge progress] 1900/3840; segment_failures=97
[judge progress] 1950/3840; segment_failures=99
[judge progress] 2000/3840; segment_failures=106
[judge progress] 2050/3840; segment_failures=106
[judge progress] 2100/3840; segment_failures=111
[judge progress] 2150/3840; segment_failures=113
[judge progress] 2200/3840; segment_failures=117
[judge progress] 2250/3840; segment_failures=118
[judge progress] 2300/3840; segment_failures=120
[judge progress] 2350/3840; segment_failures=120
[judge progress] 2400/3840; segment_failures=125
[judge progress] 2450/3840; segment_failures=129
[judge progress] 2500/3840; segment_failures=133
[judge progress] 2550/3840; segment_failures=136
[judge progress] 2600/3840; segment_failures=141
[judge progress] 2650/3840; segment_failures=143
[judge progress] 2700/3840; segment_failures=148
[judge progress] 2750/3840; segment_failures=152
[judge progress] 2800/3840; segment_failures=153
[judge progress] 2850/3840; segment_failures=158
[judge progress] 2900/3840; segment_failures=160
[judge progress] 2950/3840; segment_failures=162
[judge progress] 3000/3840; segment_failures=165
[judge progress] 3050/3840; segment_failures=166
[judge progress] 3100/3840; segment_failures=170
[judge progress] 3150/3840; segment_failures=174
[judge progress] 3200/3840; segment_failures=176
[judge progress] 3250/3840; segment_failures=180
[judge progress] 3300/3840; segment_failures=184
[judge progress] 3350/3840; segment_failures=186
[judge progress] 3400/3840; segment_failures=189
[judge progress] 3450/3840; segment_failures=190
[judge progress] 3500/3840; segment_failures=191
[judge progress] 3550/3840; segment_failures=193
[judge progress] 3600/3840; segment_failures=194
[judge progress] 3650/3840; segment_failures=197
[judge progress] 3700/3840; segment_failures=198
[judge progress] 3750/3840; segment_failures=200
[judge progress] 3800/3840; segment_failures=204
[judge audit] {'stored_attempt_rows': 3840, 'unique_cells': 3840, 'successful_rows': 3633, 'failed_rows': 207, 'unresolved_cells': 207, 'multiple_success_cells': 0, 'max_attempts': 1}
